,NES
RPL6,155.085732709272
RPL7,155.079040966761
C1QBP,148.618608437076
PHB,144.659065790549
RPS14,142.995419126574
YBX1,141.136004897356
RPL7L1,136.319882550818
NACA,135.486005182823
ENO1,133.566957070979
CBX3,133.415584530782
PA2G4,124.279854482463
PSMC3,121.824175484603
SRSF2,117.287459218497
GTF2A2,114.040458590852
PHB2,114.020947342668
CCDC85B,112.93221053869
APEX1,112.258946113482
POLR3K,108.569278314883
TFDP1,103.968085689471
IKZF3,102.684671729666
CHAF1A,101.29499378222
POLR2L,99.8368124974287
BTF3,98.9247251587847
E2F4,97.3928865463121
BTG1,96.4521852872526
PHF5A,94.8474619227172
POLR2K,94.3199894305945
MRPL28,93.9025845231276
MTDH,93.7994523604717
SSRP1,93.3782022832618
XBP1,92.9881992838391
TNFRSF4,92.953569785913
MLLT6,92.9215453389071
UBE2L3,92.576750091749
MRPL12,92.3697348648315
ZBTB32,91.7280534444331
PRKDC,88.7744889335357
UBE2I,88.6567339555941
RUVBL2,85.5994848794195
TFAM,83.8697205053953
PFN1,82.1965354468444
BTG2,81.9289063758397
PRDX3,81.8523826665242
ESF1,80.8563238362925
HMGB1,79.9174474024276
KLF13,77.9423803302802
ZC3H15,77.9244563174498
SNF8,77.8143511064121
ZNF664,77.8109783413659
PTGES2,76.8161012580098
GTF2H5,76.5292824479793
MYC,74.086924538082
HNRNPAB,74.0754355625858
SATB1,73.3747587390029
ZMYND10,73.2572720854468
PSMC5,71.8697433977734
IL10,71.8295701308978
CREM,71.6352540378698
RBBP7,71.567363869905
ZC3H8,71.2528866378896
HDAC1,70.6874183033143
PFDN1,69.9827622711981
ZBED2,69.7328185307339
IL17A,67.0860070980654
HMGN1,66.4211329488312
PIM1,65.9098775363185
IL22,65.5213747548925
NAT14,65.4864195490985
RORA,65.0857966203376
SLIRP,64.838599734892
BATF3,64.1231384180838
PTOV1,64.070271814827
IRF4,63.9882203080021
GATA3,63.4800329966864
ELOB,63.1674305753242
HDAC2,62.6223290831412
STAT4,61.9468543957875
FOXJ1,61.8042142944297
ZNF511,61.136712538158
NFKB2,60.8108591217193
TSFM,60.5833750981232
KAT2B,60.340047368809
IFNG,60.2448153838159
CNBP,59.7722115631887
MNAT1,59.6839701390805
MAPK15,59.6759715405395
ZMYND12,59.3968173453549
PBXIP1,59.1923588887357
TSC22D4,58.8685460215225
AKNA,58.3441214247018
HOPX,58.0767164909035
YAF2,58.0666690348512
PBX4,58.0489612565258
EID1,56.5893745250145
ASXL1,56.3861007318141
GFI1,56.1738199058995
E2F1,55.7550344605774
ETS1,54.8937596666686
JUP,54.268544671175
ASCC2,53.8141753346837
