,NES
RUNX3,160.702756021358
ETS1,159.489722401015
ZFP36L2,146.437737059281
PFN1,144.867093805372
BTG1,135.678678301525
PBXIP1,128.600976891182
SUB1,126.007068416124
HOPX,124.045831267846
RPS14,123.164191944179
PIM1,122.73850286802
ENO1,118.305978228883
KLF6,117.565174498242
BCL11B,116.285993498976
KLF13,115.839002771275
IKZF3,115.007103141977
JUNB,113.313438264907
CEBPD,112.912360305833
PNRC1,112.174188105071
RPL6,111.252573596889
GATA3,107.795857686088
RBPJ,107.722727889721
TSC22D3,106.348536341698
RPL7,106.258513838609
IKZF1,102.383000759808
PRDM1,101.067519692554
ARID5A,100.525698380709
NACA,97.9335722719476
HMGB1,96.9256241358353
TSC22D4,91.4178931966043
DDX5,91.1693844771393
LEF1,89.5143744582087
KLF2,84.3613142290378
ZFP36,83.4752373529853
SP140,83.0185927740012
RORA,78.4789910518638
BATF3,75.9530525137085
SRSF2,74.9910760023133
EOMES,74.4507854172091
ZNF107,70.3513842651263
UBE2I,68.8947254196261
IRF4,68.4543879591344
FOXN3,68.2811155787116
TNFRSF4,68.0091597388715
ZNF71,62.043707016647
IFI16,60.9203775926479
LPIN2,60.3583423318506
MAF,59.6407950054997
KMT2A,59.6320006926106
SF1,57.4119633418138
SETD1A,57.0485281504775
SSBP4,54.9196194028641
NR3C1,54.609561672517
DNMT1,53.3806394854106
ZC3H12D,53.3472717435829
NFATC1,53.2259299080111
RUNX2,53.1721971494183
ARID4B,51.9664287681348
ZNF480,51.6162713486225
ZNF780A,51.0605043421005
EID1,50.6419439552419
CBFA2T2,50.5775260633871
HSF2,50.5425915501933
SCAND1,49.6792955805139
PRDM8,48.7282185961306
PBX4,48.0982603312424
ZNF444,47.6960306292666
EPC1,46.7606689470218
ZBED2,45.8023696870294
ASXL2,44.6771856429088
STAT4,44.4384685520616
GTF2H5,44.1885099842123
ZNF395,43.6928675181749
DDX17,43.6649214206363
CASK,43.3564443337225
MCM5,43.1987159439852
BDP1,43.0316908694999
IL16,42.6799639026594
BTF3,42.537135145551
KLF12,42.3104196247907
MYC,41.9365472447896
BTG2,41.2442322023999
E2F1,40.6912111773713
NSD3,40.6142381073646
BRMS1L,40.4434921449563
TRERF1,40.2861102222032
MEAF6,38.8295717273006
PIAS3,38.2276954100029
RFXAP,38.0572842966
ZNF335,37.9858011613129
TBL1X,37.9332833313622
GMCL1,37.8361682307705
CCDC85B,37.5819677165077
TMPO,37.5004452603226
KDM2B,37.3577542526188
LRRFIP1,37.3022048362225
CC2D1A,37.2952383731068
SMAD3,37.1352608615084
SFPQ,36.0834082545619
TCF7,36.0682005401949
CITED2,35.7449164228477
