,NES
PHB,230.522303772291
C1QBP,219.591859056919
PA2G4,218.74800131643
CBX3,211.229366271763
YBX1,210.315475516956
PHB2,202.506969360736
ENO1,197.785876960904
MRPL12,196.599889085575
RPL7L1,193.96373597372
RPL6,192.545770194771
PSMC3,190.643110408956
NACA,189.778757821142
CCDC85B,188.87068320211
RPL7,183.650385973675
SSRP1,176.901648249864
MTDH,175.686141187878
SRSF2,175.168984234645
PHF5A,174.781304887424
MRPL28,173.954913818715
MYC,172.07067032265
BTF3,170.548004999706
HNRNPAB,167.22810488872
UBE2L3,166.838237329635
SLIRP,165.971336285836
ZBTB32,163.080823289332
APEX1,162.990212099787
TFDP1,160.233837345528
GTF2A2,154.580148410801
HMGN1,154.313353250753
POLR2K,151.966007817477
TFAM,151.952612529388
IRF4,150.502525967656
POLR3K,148.99249287323
RPS14,148.244370221411
ESF1,148.240980379379
ZC3H15,148.164884754204
PRDX3,145.399299539752
E2F4,141.734747928275
SNF8,141.679061132298
IL10,138.389941902094
BATF,137.984630454931
RELB,136.910906509888
PTGES2,135.401660133859
CNBP,135.174341232145
EID1,132.832709344734
PRDM1,132.367411983521
PFDN1,130.504712391916
POLR2L,130.069584422661
RUNX3,128.441394740409
IKZF3,128.15134131522
ZBED2,127.977019300671
IL22,127.401708101887
ZNF511,127.224287916726
ID2,127.194635847988
GTF2H5,126.595476746017
ARID5A,125.585731993991
ZNF593,124.950374806302
STAT4,124.752453238106
TFAP4,124.457956861869
MED10,124.456262007927
RORA,123.373989276794
BTG2,122.829029529289
PSMC5,122.364936754933
SUPT4H1,121.823625086785
BATF3,121.208542220614
UBE2I,121.075013389436
RBBP7,120.979569238656
TCF25,120.975111250862
NME2,120.641368640174
CHAF1A,119.653141405702
TNFRSF4,119.537809866207
HOXB2,116.134613283602
ABT1,114.845128988592
XBP1,114.339041015071
FOXN3,112.691249536565
ASXL1,112.548006696619
IKZF1,112.16276933
ETS1,111.467731296098
HDAC2,111.104448273657
TSFM,110.743330453452
EDF1,110.617133442401
ILF2,110.489552159453
BTG1,110.083093691021
ZC3H8,109.705507980814
MLLT6,109.197098640598
NFE2L3,108.231520087736
RTF1,107.994179814783
PIM1,107.785726843436
PREB,107.615712732911
SUB1,107.429207392841
MAF,105.996475717731
NEDD8,105.522743615034
ZPR1,104.231805850802
PMF1,103.945708839922
PFN1,103.291222421041
CBFB,99.6244654892272
IL17A,99.6071839082331
MAF1,98.9625741890766
HMGB1,98.9342884560946
IFNG,95.7865855100523
