,NES
PHB,216.366451667829
C1QBP,205.547761598836
PA2G4,201.334560042889
CBX3,195.615524738518
YBX1,192.411470052059
ENO1,184.84886392369
PSMC3,179.75533929791
PHB2,179.190966175535
RPL7,176.926710028403
RPL6,176.256770415341
RPL7L1,175.663293232384
NACA,175.058708387183
MRPL12,170.069492723928
CCDC85B,168.43065669563
MTDH,167.849986395137
SRSF2,167.187747600451
PHF5A,162.90699805948
MRPL28,162.492565155675
BTF3,160.689984282602
SSRP1,157.707762070408
MYC,151.533199681503
UBE2L3,151.033183390175
POLR2K,149.41187360028
TFDP1,148.866508429846
GTF2A2,148.141644181526
HMGN1,147.399925426431
APEX1,145.24726250585
RPS14,144.428778605695
PRDX3,143.084922389327
HNRNPAB,142.464649635134
TFAM,141.55647428491
ZC3H15,137.846528244216
POLR3K,136.562156319339
SLIRP,133.547433397778
RORA,133.467120893452
ZBTB32,132.814235492041
RELB,132.086092035774
E2F4,131.106473347056
PTGES2,130.821246635233
BTG2,129.772168879085
IKZF3,129.407541528079
CNBP,126.085491825341
XBP1,125.257159292201
POLR2L,124.531801826066
IRF4,124.513024547419
IL10,123.720534312351
PRDM1,123.36938815687
EID1,122.521457680752
ESF1,122.480604841895
SNF8,122.466164558671
PSMC5,122.266778203998
RBBP7,121.059630257867
ZBED2,119.912062001108
UBE2I,118.893638814914
BTG1,118.456693379044
ID2,117.681842228392
RUNX3,115.238259269272
PREB,115.108309258477
IL22,115.035596931978
ARID5A,114.170786429313
FOXN3,113.914464126024
TNFRSF4,113.603552850699
PMF1,113.166662964631
PIM1,113.013359169468
ZNF511,112.377391266379
BATF3,112.324463083778
PFDN1,112.102262480709
BATF,111.144742417999
EDF1,110.375469253109
ETS1,109.980947859408
GTF2H5,109.744159597705
HDAC2,109.196652247621
ABT1,108.84276164481
NME2,108.009374423476
ASXL1,107.28250036222
NFE2L3,107.052805300824
ZC3H8,106.085859806743
ILF2,105.878608090731
CHAF1A,105.270180825277
STAT4,104.828979096202
HMGB1,103.927428913372
HOXB2,103.691181809182
SUPT4H1,101.935570087941
CBFB,101.730503359536
ZNF593,101.105437700601
IKZF1,100.41932988514
NEDD8,100.373698568719
CREM,100.19221551505
AKNA,100.046923641547
TSFM,99.8730006283749
SUB1,99.6730591526294
TFAP4,97.2023237829059
MLLT6,95.6662498607698
ZC3H12D,94.9697423892863
YAF2,93.91514148525
MED10,93.4179422612766
RTF1,93.2213297805885
MAF,92.900476430163
GABPB1,92.8177052503369
BCL11B,92.1265045661586
