,NES
HMGN1,385.706848430792
SFPQ,376.481948241899
TNFRSF4,375.028986849682
YBX1,359.851662263595
BATF3,357.469074407139
JUNB,353.425305762241
POLR2L,343.585086035553
CREM,333.926502098117
BATF,324.211680908279
IRF4,315.132916268785
RELB,309.436681356096
SUB1,306.144447085645
SRSF2,304.650293597368
BZW1,302.62130206373
EDF1,281.84159005107
HNRNPDL,281.164047282827
ZNF706,279.03665942314
SATB1,278.686980264266
LRRFIP1,276.353282940477
POLR2K,272.295507749013
CBFB,271.893905260226
IFNG,268.26114618963
HIF1A,266.045749923446
UBE2I,264.891108630018
DRAP1,264.18022971205
ENO1,262.343850797114
SLIRP,256.96894086135
ID2,255.068353658034
ETV6,254.624543611087
ELOC,249.318112810859
BHLHE40,239.597619299553
ARID5A,238.864437251486
HNRNPAB,234.860418491121
SUMO1,234.530521957702
FOSL2,232.191985732693
SAP18,231.424534974984
GTF2A2,224.381013859503
PMF1,224.307021721487
DNAJB6,214.674433638416
SRSF10,211.50699092587
PSMC5,210.424467768723
ZBED2,209.368760569429
HMGN2,204.83325869765
ZNF593,202.918061414362
DDX5,201.327907578181
ZC3H15,201.108598725608
IRF8,200.560797724827
ATF4,199.103406511327
NFKB2,198.206855126678
ILF2,197.3265627286
EWSR1,195.484755227824
CSRNP1,195.410353871271
UBE2L3,194.625243863525
NAB2,194.516077278195
ELOB,192.507638630591
ENY2,191.495198399766
PHB,190.710271792894
PHB2,189.292113098093
PA2G4,187.724983581601
RBCK1,186.840393792267
MRPL12,185.342283055751
POLR2I,183.368424035705
RBM39,181.097835160779
CBX6,176.664013008601
CCDC85B,175.420843027424
NFKB1,173.816757327327
CAMTA1,173.763035408903
C1QBP,173.25118055405
PSMC3,171.20036006166
XRCC6,167.713974526132
ETV7,167.040425726146
MTDH,165.469097181546
PRDM1,165.025323825886
HMGA1,163.2190488198
PIM1,163.211741158044
COPRS,161.021323328537
FOSL1,160.516795976632
NR1H2,157.708802949911
SNF8,157.149777738889
NEDD8,156.419628583767
SERTAD1,156.257130920357
LIF,154.926936874377
E2F4,154.836486971609
BUD31,152.429831943125
MEAF6,149.129510109757
RBPJ,149.048487086847
ZC3H12D,146.59973081062
PRDX3,144.948769437275
TERF2IP,141.806225010304
NELFE,140.217731275884
ZFP36,140.045532270244
NOC2L,138.568121073404
SSRP1,136.624881170156
HSBP1,133.888958497569
TBX21,133.786456767834
MRPL28,133.582836351536
YBX3,132.24937079509
PUF60,129.512684842926
FUBP1,128.433389338088
STAT5A,127.851094106936
