,NES
SRSF2,210.877085164834
POLR2K,198.859583875183
SLIRP,180.332902107648
HMGN1,165.634541727398
PHB,164.141515081121
HNRNPDL,158.795690112881
SFPQ,158.551668634756
IRF1,156.712364204725
E2F4,152.197636839964
ELOC,150.811751824829
YBX1,150.680379235812
BZW1,147.514350180887
NACA,146.747970870416
NEDD8,143.373720257179
SUMO1,142.015145105359
UBE2I,140.542656412427
PHB2,136.339866289951
PA2G4,136.04261071127
CBX3,135.751749557978
TNFRSF4,134.860064797567
LIF,134.355282399431
CCDC85B,133.620964053134
ZBTB8OS,133.435165869787
RPL6,133.327549642588
PPRC1,132.523620542967
ARID5A,131.998579405692
RPL7,128.998538301011
C1QBP,128.982874879341
MAF1,127.699539588777
LPIN2,127.468330149687
AKNA,126.756723933792
CEBPB,126.08947242154
IFI16,125.264934701373
XRCC6,124.031336487273
FOSL1,123.704427704656
STAT1,119.778167684282
ENO1,119.218830396862
PHF5A,119.050297499296
POLR2I,117.538359418794
ZBED2,117.29480667843
ETS1,116.402349331776
TERF2IP,115.209379538225
SNF8,112.703000555278
RBM39,109.225343547549
PSMC5,109.104749983754
LRRFIP1,109.008540614775
CDK11B,107.866356644237
SSBP4,107.772650002328
TSHZ2,107.64962075269
BTF3,107.311722287014
NOC2L,106.28619473259
ZMAT2,106.144185346931
ELOB,105.813079261131
ZNHIT3,104.556452545207
LEF1,104.272844277439
ZNF706,104.015535545783
RUNX3,103.61734288884
POLR3K,103.396986871607
UBE2L3,102.15616030827
GTF2A2,101.692345747336
SRA1,100.530376834847
PMF1,100.507390817575
TTF1,100.330705218099
TCF25,99.6361171567141
AATF,99.2842720352217
PSMC3,98.9863381079926
MORF4L1,98.6620523090394
RBBP7,98.2630362848285
MRPL12,97.8793183643216
HSF1,96.5069774682736
CCNC,94.0082229334865
ZNF593,93.3876348152482
CCDC59,93.2187719156263
EWSR1,92.7987373940098
RBCK1,92.7558325372343
ZRSR2,92.4928667924888
PUF60,92.354321794537
WDR77,92.30595522232
C1D,92.2600962297662
SP140,91.8645092514916
JUNB,91.6864734345706
PFDN1,91.4756753922562
MED10,91.2299908675468
ABT1,90.5788807264199
ZNF655,90.5505081731608
STAT4,90.5404490567394
REXO4,88.5910831835037
SRSF10,88.2362627366795
PREB,87.7333120645048
ZPR1,87.1356680778861
IRF2,86.1892896080895
GTF2E2,86.10520030916
NELFE,86.1009251922698
SUB1,84.9438045840942
GTF2H5,84.5119562183874
MCTS1,84.1067148038007
SFMBT1,82.9196370916912
ZFP36L1,82.9016332664992
HCLS1,82.7340614289326
BUD31,82.6084384040047
