,NES
RPS14,185.197852174101
ZFP36L2,163.978346428632
NACA,144.472574467564
RPL6,142.366564725567
RPL7,136.811180923094
BCL11B,106.478675440672
ETS1,103.917517983659
KLF2,100.499367925162
LEF1,96.6723982449105
HEY2,93.2286222138231
PBXIP1,92.6899588671405
TSC22D3,91.4762731112038
BTG1,90.9529248074688
GATA3,85.5047914209019
BTF3,81.5839847792177
ZNF277,80.6416743781754
PNRC1,77.2019452451255
MYC,75.8507246378523
SETD1A,73.4182232584828
SP140,72.911638447781
ENO1,71.8116281115268
ZNF107,71.1562919292072
PRDM1,70.0683375342392
PIM1,69.5428505354948
LBH,68.4224818753736
PHF21A,61.3761069414867
RBPJ,59.6690369639556
KLF13,58.1073636597526
RUNX3,57.5891697955969
ZNF71,55.701240029573
IL16,54.4491540572905
PFN1,53.3522141956834
PFDN5,53.1636345505511
KLF6,51.4021176364853
ZNF780A,50.832564683538
IFI16,49.2704668054953
NR3C1,48.9596733041919
IKZF3,48.0777736444573
CRY2,46.9036758289039
ZBTB40,45.5149023590242
ZC3H7B,44.6930526030462
TCF7,44.6406740743459
ZFP36,44.0284064958973
TSC22D4,43.7743726794208
ZCWPW2,43.7659241795163
JUNB,42.9934226363391
TNFRSF4,40.2120502880865
TFIP11,39.9459275007353
ZNF652,39.1247979425147
ZBTB2,39.0137630449676
ZC3H6,38.9667419865284
KDM2B,38.7840885920742
RNF141,38.5851207277377
ZNF395,38.2613071655592
EPC1,37.4947574606122
ZNF248,37.2208760035851
DPRX,37.2107591965519
NUFIP1,37.1247182030126
SOX13,36.4895084000965
ARID5A,36.3766678064732
EOMES,36.121501363365
BCORL1,36.0730122316132
TBL1X,35.5374959713475
ZFP90,35.3282793561101
ZNF33B,35.0923844312666
LZTFL1,34.5619028749257
RIOX1,34.346481447056
HMBOX1,34.2464834186657
SUB1,33.5995538066238
MYPOP,33.5460467655159
HDAC5,33.1505721881792
ZEB1,33.1003443619793
HDAC10,32.7285292998712
APP,32.7067539236789
RORA,32.6924047620512
HMGB1,32.6584706987151
ZNF480,32.5364966329441
CEBPD,32.4248042096543
ZNF500,32.2278364879962
DBP,31.9418301656386
ZNF48,31.4706263365402
TGIF2,31.1458270242286
DDX5,30.5372300717145
MED13L,30.3549374877806
ANKZF1,29.8884846555951
CCNT2,29.8707770578075
ZBTB11,29.5436372123195
ZNF780B,29.5361201926705
ZDHHC13,29.5217869554067
SNAPC3,29.38198830249
MCM6,29.0338074930834
GTF2H2,28.9911000628537
ZNF717,28.9391999855568
TSHZ2,28.5971780163211
TAF8,28.3470420233516
ZNF598,28.310864609224
ZDHHC7,27.5978541717733
IKZF1,27.515343020184
FLYWCH1,26.0349796730072
CBFA2T2,26.0070347393187
