,NES
IRF8,238.300475772159
YBX1,229.402509688808
IRF4,213.381551875567
TNFRSF4,210.176223633731
ARID5A,186.545767686977
BATF,184.035904727437
PFN1,183.825596676097
PA2G4,181.83549093635
IL2,181.585527479814
MRPL12,180.500446966793
HMGN1,179.615220461457
C1QBP,179.522120873707
SLIRP,177.60327329682
SRSF2,175.681283567678
FOSL2,171.280579250442
POLR2L,170.470095150058
ENO1,170.459902765128
IRF1,170.383556765924
ID2,167.969047482874
ZBED2,164.840998157863
POLR2K,163.459738918798
ESF1,160.730001026894
EGR2,159.117023502882
RELB,155.974464901484
SUB1,155.736672490205
STAT1,154.378533215049
ELOC,153.992901268089
ZNF593,149.926871291801
ELOB,146.088052244239
SUMO1,145.971226693185
SSRP1,145.510957793001
MAF,145.318673139334
HSBP1,144.283868282901
HIVEP3,142.838368680318
GTF2A2,142.210026969142
ZNF706,141.975115079576
ENY2,141.056076575507
YBX3,139.877448957086
HNRNPAB,137.629460583243
PHB,136.819682652089
POLR2I,136.792127460168
HIF1A,136.186903092087
FOXP1,131.64819302564
SRSF10,131.507338947403
HNRNPDL,130.952249447846
NOC2L,125.40394779531
CREM,124.050123515159
NOLC1,122.717979281282
CBX6,121.978384920867
BATF3,120.873776822354
XBP1,120.162991947184
CBX3,120.122770703717
E2F4,117.094660427409
ICAM1,116.96356700345
BHLHE40,116.288500559338
LRRFIP1,115.945047344062
BZW1,115.879359306692
MYC,115.415887375711
ILF2,114.773703455131
HMGN2,114.52481532249
RPL7,114.367351549189
SRA1,113.70086756935
BUD31,112.317507719553
HMGA1,110.316265863425
FOSL1,110.227900559637
IFNG,109.485191930001
SATB1,108.364790312806
CCDC59,108.061533089679
SFPQ,107.703028436684
COPRS,106.854233507712
C1D,105.71926512993
PRDM1,104.79725165624
CBFB,102.474362914554
MIER1,100.257772289178
ETV6,99.5232108642638
RUNX3,98.9179676268666
SNF8,98.5845292017978
ZBTB32,96.8432446225326
ZNF420,96.421663239309
MEAF6,96.0144326983921
TFAM,95.6523909928331
CNBP,94.0952280146096
RBM39,94.0239947713039
REL,94.0030070681736
CEBPG,92.8711939700732
HES4,90.9577400737263
ZC3H15,90.9088354411376
ZNRD1,90.4999587468054
TAF9,89.7882291663919
NFKB1,89.6908993896865
DR1,89.6758414268135
ZNF267,89.5339542398008
TBX21,87.3052766548124
PHB2,86.5719927656774
PSMC3,86.5390511716298
IFT57,85.3495068303413
ZSCAN32,84.8581159557962
GCFC2,84.6927246702011
CEBPB,83.832809021619
BAZ1A,83.029992489528
