,NES
HMGN1,364.612589745802
HNRNPDL,338.618709304373
SRSF2,302.749461138798
SFPQ,299.451080675476
SLIRP,286.799864266533
POLR2K,275.029179415897
UBE2I,271.388385867137
PHB2,271.087952684024
PHB,267.75185426203
CCDC85B,261.332509768689
ZNF706,259.371182611094
HMGN2,258.769777073897
BATF3,250.215441189212
SNF8,249.317633195262
POLR2I,247.419652697733
YBX1,243.818948110037
IRF4,243.765235548306
BATF,240.597082134958
ELOC,233.105884334915
CBX3,230.923686435868
IFNG,227.906359761915
ELOB,226.541120009109
GTF2A2,220.541152351657
CNBP,219.634753363286
BUD31,219.389794148807
TNFRSF4,219.272024287967
BZW1,218.828862337912
PSMC5,217.28455503672
PIAS3,216.959460111202
FOSL2,215.372172504671
PUF60,212.763291249094
RPL6,211.425182442994
MAF1,210.250208945783
ENY2,209.540295160009
POLR2L,208.496329390117
PSMC3,203.39823213515
PA2G4,203.285978656375
HSBP1,202.612237858211
ZNF593,199.456114194221
CBX6,197.846795368695
SSRP1,197.036500175287
C1QBP,196.404530832077
SMARCB1,194.034934941862
ZC3H15,193.193797920391
SIVA1,190.505686141815
SAP18,188.391550342934
ENO1,185.89896733166
SATB1,184.05946804991
ILF2,183.02266233217
PRDX3,181.750015911398
SRA1,179.000114926897
MRPL12,173.799420624988
ZNHIT1,173.483053548203
EDF1,171.337595857067
ZNF714,170.477336997626
RBCK1,168.428767548989
NEDD8,168.214240255237
MTDH,166.459402968866
SUPT4H1,165.894079911533
UBE2L3,165.354018123319
E2F4,164.75605466418
ZBED2,163.86453671455
RFX3,162.511979660297
SRSF10,162.191181163016
RELB,158.527709793211
CBFB,158.148225911109
HNRNPAB,158.099352202078
ZNF839,157.59330707517
CREM,155.772436427816
HMGB2,155.66293235923
E2F1,155.431384729346
COPRS,153.451959567305
IL17F,153.445366393863
MRPL28,152.734028926392
CENPU,150.207832791563
TFDP1,148.483423639784
LIF,147.741589321397
HLTF,146.913959321029
MORF4L1,145.757495582531
EWSR1,144.246297459411
MED28,142.154501196342
NELFE,142.154473770574
ZNF684,141.792073951913
NOLC1,139.566030405983
SUMO1,139.269629829804
BHLHE40,137.966616204889
PSMC3IP,137.585469741506
NFKB2,136.633886719715
LBH,134.5673458251
ATF4,133.622737224156
ID2,133.005185983246
ZNF555,132.438197915697
CAMTA1,132.073601510608
POLR3G,130.758559228864
ZNF18,130.483049565785
TRIM16,129.609768261518
POLR3K,129.386335383692
BTF3,129.363638893467
ZNF556,129.148494053217
ZNRD1,128.669069589286
